qid,policy,representation,packer,em,f1,ans_in_context,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
a585aba5092711ebbdaeac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6755,1.0,151.0,1.0,1.0
6086a7fa0bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.2222,0.0,0.0,0.0,156.0,0.5,0.0
83a016220bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2774,0.5,155.0,1.0,1.0
a4263dc80bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3488,0.5,129.0,0.5,0.0
d8a1eedf097611ebbdb0ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,0.0,0.3418,1.0,158.0,1.0,1.0
782f0c160bd911eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1375,0.5,160.0,0.5,0.0
5cb7d5260bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.245,0.5,151.0,1.0,1.0
aa14a0ac0bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1169,0.5,154.0,0.5,0.0
0e967bac08a711ebbd7fac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.2857,1.0,0.5256,0.5,156.0,0.5,0.0
7c5768260bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.6327,1.0,147.0,1.0,1.0
d0cadba7088f11ebbd72ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.6154,0.5,130.0,1.0,1.0
1f9e4658084f11ebbd56ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.3671,0.25,158.0,0.5,0.0
3f0a5317085d11ebbd5cac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.1456,0.25,158.0,0.5,0.0
37a7af5a0bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.8,0.0,0.4444,1.0,153.0,1.0,1.0
188e20a60bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,154.0,0.5,0.0
5d2b68b60bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.3165,0.5,158.0,0.5,0.0
4a08f0e80bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.1887,0.5,159.0,1.0,1.0
d0a64a540bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2244,0.5,156.0,0.5,0.0
7284dea4087711ebbd67ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.5035,0.5,141.0,0.5,0.0
60ce015a08ad11ebbd83ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.4362,0.5,149.0,0.5,0.0
9a758ac6084f11ebbd56ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.2276,0.25,145.0,0.5,0.0
511b3eda0baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.1923,0.5,156.0,1.0,1.0
2cb1fed1094311ebbdaeac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4151,1.0,159.0,1.0,1.0
951c19540bd911eba7f7acde48001122,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.6424,1.0,151.0,1.0,1.0
c39d8e5a0bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6471,1.0,153.0,1.0,1.0
061998c008ce11ebbd94ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.1474,0.5,156.0,1.0,1.0
c2fc21d60baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.529,1.0,155.0,1.0,1.0
6a701bca0bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.3333,1.0,0.6218,1.0,156.0,1.0,1.0
79703b0808a611ebbd7fac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.451,1.0,102.0,1.0,1.0
3a6e83be086b11ebbd5fac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3158,0.5,152.0,1.0,1.0
a06faa8e085311ebbd59ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.5714,1.0,84.0,1.0,1.0
72486f1e0bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,154.0,0.5,0.0
b67bfaf20bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,160.0,1.0,1.0
5eff3f9a0bd911eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2703,0.5,148.0,1.0,1.0
b930f6680bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3567,0.5,157.0,0.5,0.0
b61f7c280bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1677,0.5,155.0,0.5,0.0
b8ffdece0bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.3831,0.5,154.0,1.0,1.0
